median_income,median_house_value,ocean_proximity
5.1406,315600.0,INLAND
6.4994,323000.0,INLAND
7.333,337200.0,INLAND
6.5214,311500.0,INLAND
6.4524,296900.0,INLAND
6.0604,247900.0,INLAND
6.5285,300400.0,INLAND
3.1127,233000.0,INLAND
2.4896,238500.0,INLAND
5.0677,233300.0,INLAND
2.1187,231300.0,INLAND
10.9506,475800.0,INLAND
5.5,247200.0,INLAND
4.9879,229400.0,INLAND
6.8132,282500.0,INLAND
5.6399,300600.0,INLAND
4.1597,293200.0,INLAND
5.7519,278500.0,INLAND
5.6417,352900.0,INLAND
10.3203,400000.0,INLAND
4.3472,375000.0,INLAND
6.6827,313700.0,INLAND
7.3588,327500.0,INLAND
5.7239,430600.0,INLAND
4.2083,125000.0,INLAND
6.1023,450000.0,INLAND
3.9864,200200.0,INLAND
4.8624,192400.0,INLAND
9.1531,418800.0,INLAND
4.7361,216800.0,INLAND
5.4324,215500.0,INLAND
4.9375,227700.0,INLAND
3.3841,184400.0,INLAND
3.5532,158400.0,INLAND
3.3618,174600.0,INLAND
4.3533,168400.0,INLAND
4.5357,188400.0,INLAND
5.7068,256700.0,INLAND
3.7212,183800.0,INLAND
5.2443,183400.0,INLAND
4.2361,177500.0,INLAND
3.1856,186900.0,INLAND
5.4496,238900.0,INLAND
3.0222,172500.0,INLAND
2.6667,179200.0,INLAND
3.7301,204400.0,INLAND
4.6806,209400.0,INLAND
5.7907,264200.0,INLAND
6.3705,350000.0,INLAND
5.2649,199800.0,INLAND
6.0797,211000.0,INLAND
4.8571,201100.0,INLAND
3.8523,193000.0,INLAND
5.98,245000.0,INLAND
2.45,117600.0,INLAND
2.2417,97900.0,INLAND
3.15,140600.0,INLAND
3.4609,120900.0,INLAND
3.0,119000.0,INLAND
3.2031,129200.0,INLAND
2.5208,99100.0,INLAND
2.3549,108900.0,INLAND
3.0125,111700.0,INLAND
2.05,68900.0,INLAND
3.125,96400.0,INLAND
2.65,116700.0,INLAND
3.5,123800.0,INLAND
2.5476,97900.0,INLAND
3.9107,129800.0,INLAND
4.2917,121300.0,INLAND
3.3393,107200.0,INLAND
4.3029,121900.0,INLAND
2.8125,113400.0,INLAND
3.5508,99100.0,INLAND
3.2589,103000.0,INLAND
3.2937,114200.0,INLAND
3.0465,144100.0,INLAND
2.3125,128600.0,INLAND
2.525,157200.0,INLAND
3.175,118500.0,INLAND
2.6078,116700.0,INLAND
2.7399,134800.0,INLAND
2.7236,109900.0,INLAND
4.4531,144300.0,INLAND
3.2135,123600.0,INLAND
3.1142,112600.0,INLAND
3.0068,107300.0,INLAND
3.0905,117800.0,INLAND
1.9362,89900.0,INLAND
2.3155,102300.0,INLAND
2.0094,87300.0,INLAND
3.07,142600.0,INLAND
1.6785,153100.0,INLAND
3.6625,126600.0,INLAND
3.5046,118300.0,INLAND
3.9,147000.0,INLAND
1.8095,78100.0,INLAND
2.2833,85800.0,INLAND
1.5633,84500.0,INLAND
3.4191,137500.0,INLAND
0.9393,88900.0,INLAND
1.1019,120200.0,INLAND
1.7284,74500.0,INLAND
2.2621,85100.0,INLAND
2.575,130300.0,INLAND
4.3309,125200.0,INLAND
3.0253,111400.0,INLAND
3.2016,97000.0,INLAND
3.1125,122600.0,INLAND
3.0625,116300.0,INLAND
2.125,179200.0,INLAND
2.2925,85800.0,INLAND
1.6797,94800.0,INLAND
1.5481,200000.0,INLAND
0.987,112500.0,INLAND
0.9566,69000.0,INLAND
1.3672,55000.0,INLAND
2.0064,77900.0,INLAND
1.6911,98800.0,INLAND
1.6827,78700.0,INLAND
1.5863,81300.0,INLAND
1.7426,60300.0,INLAND
1.5064,66300.0,INLAND
2.0288,116700.0,INLAND
4.5032,159700.0,INLAND
3.7007,139200.0,INLAND
3.5735,89600.0,INLAND
3.5375,153100.0,INLAND
2.8306,87500.0,INLAND
4.712,158600.0,INLAND
2.3833,95100.0,INLAND
3.0625,93800.0,INLAND
2.7143,95300.0,INLAND
3.5189,141300.0,INLAND
2.4028,67500.0,INLAND
2.3036,73000.0,INLAND
2.8657,119600.0,INLAND
2.2419,93200.0,INLAND
2.4537,117900.0,INLAND
2.5374,97200.0,INLAND
2.3507,97600.0,INLAND
2.3079,95300.0,INLAND
2.6147,107700.0,INLAND
2.567,102900.0,INLAND
1.625,88300.0,INLAND
1.4048,86500.0,INLAND
2.1838,58000.0,INLAND
1.875,84000.0,INLAND
2.963,89500.0,INLAND
2.6823,93400.0,INLAND
2.1912,115200.0,INLAND
2.0458,105700.0,INLAND
2.3068,97300.0,INLAND
2.7863,108600.0,INLAND
2.0882,104900.0,INLAND
3.1061,110200.0,INLAND
1.7875,103800.0,INLAND
2.2,80800.0,INLAND
2.3403,87300.0,INLAND
1.8245,85500.0,INLAND
2.5428,85000.0,INLAND
1.8125,93500.0,INLAND
3.0,96700.0,INLAND
2.8182,109700.0,INLAND
1.7788,85800.0,INLAND
1.0625,92800.0,INLAND
1.8616,70500.0,INLAND
2.3711,121800.0,INLAND
3.066,102600.0,INLAND
2.9625,101200.0,INLAND
3.13,168300.0,INLAND
2.4623,126100.0,INLAND
2.3798,83800.0,INLAND
1.9766,92600.0,INLAND
2.3958,111200.0,INLAND
1.6948,87500.0,INLAND
2.3895,87500.0,INLAND
2.8871,94700.0,INLAND
2.3684,62500.0,INLAND
1.4896,83300.0,INLAND
2.3917,85700.0,INLAND
1.7708,79500.0,INLAND
1.7308,53600.0,INLAND
1.5771,65200.0,INLAND
2.1467,84100.0,INLAND
2.9562,142300.0,INLAND
3.9028,93800.0,INLAND
3.0446,90800.0,INLAND
3.2174,91800.0,INLAND
2.6921,97500.0,INLAND
4.5156,91200.0,INLAND
2.4821,73800.0,INLAND
2.9688,86400.0,INLAND
2.502,62100.0,INLAND
2.334,72200.0,INLAND
2.0357,57600.0,INLAND
0.8024,58300.0,INLAND
1.1607,51700.0,INLAND
1.3654,57900.0,INLAND
1.6352,53100.0,INLAND
1.5714,56100.0,INLAND
1.9956,58000.0,INLAND
1.6389,56700.0,INLAND
2.1658,57600.0,INLAND
1.6346,63300.0,INLAND
1.8661,59800.0,INLAND
1.4833,65200.0,INLAND
0.8252,42500.0,INLAND
1.0585,45100.0,INLAND
1.3289,39400.0,INLAND
1.5313,50300.0,INLAND
1.8047,53800.0,INLAND
2.4952,53900.0,INLAND
2.2045,41800.0,INLAND
2.9965,88900.0,INLAND
3.2833,82600.0,INLAND
2.6563,63600.0,INLAND
2.0455,59400.0,INLAND
1.3611,60600.0,INLAND
2.6071,57100.0,INLAND
1.7727,49000.0,INLAND
2.3566,80400.0,INLAND
2.425,96200.0,INLAND
3.0208,60000.0,INLAND
2.5313,61300.0,INLAND
2.1776,73800.0,INLAND
1.9943,86300.0,INLAND
1.7552,86400.0,INLAND
2.6607,84600.0,INLAND
2.7891,73500.0,INLAND
2.3224,56200.0,INLAND
1.7885,57000.0,INLAND
1.91,63900.0,INLAND
2.0474,56000.0,INLAND
1.8355,63000.0,INLAND
2.3243,85500.0,INLAND
2.5259,81300.0,INLAND
2.2813,57600.0,INLAND
2.1728,59400.0,INLAND
2.4943,81900.0,INLAND
3.3929,82100.0,INLAND
2.3816,116000.0,INLAND
2.5,116100.0,INLAND
2.3654,94900.0,INLAND
2.9063,92200.0,INLAND
2.2875,79900.0,INLAND
2.6528,133000.0,INLAND
3.0,122600.0,INLAND
2.9821,90400.0,INLAND
2.0472,93200.0,INLAND
4.0109,125900.0,INLAND
3.636,133100.0,INLAND
3.8488,130600.0,INLAND
2.1382,104000.0,INLAND
2.5473,101600.0,INLAND
2.0417,92600.0,INLAND
2.6417,122300.0,INLAND
2.4583,112500.0,INLAND
2.6667,86600.0,INLAND
2.5667,77400.0,INLAND
2.7344,91900.0,INLAND
3.024,100900.0,INLAND
1.625,94700.0,INLAND
2.2604,84800.0,INLAND
2.8208,139900.0,INLAND
3.75,121400.0,INLAND
4.4063,155800.0,INLAND
2.9821,111500.0,INLAND
2.6942,123500.0,INLAND
2.5352,113700.0,INLAND
3.3542,103800.0,INLAND
3.075,108300.0,INLAND
3.125,77500.0,INLAND
2.7841,65800.0,INLAND
2.9489,67500.0,INLAND
2.2754,59200.0,INLAND
