median_income,median_house_value,ocean_proximity
3.7557,109400.0,NEAR OCEAN
1.9797,85800.0,NEAR OCEAN
2.4805,73200.0,NEAR OCEAN
2.5795,68400.0,NEAR OCEAN
1.6654,74600.0,NEAR OCEAN
1.7038,78300.0,NEAR OCEAN
2.0074,66900.0,NEAR OCEAN
2.4605,105900.0,NEAR OCEAN
2.1829,69500.0,NEAR OCEAN
2.275,122400.0,NEAR OCEAN
2.1336,75000.0,NEAR OCEAN
3.0313,103600.0,NEAR OCEAN
2.2868,103100.0,NEAR OCEAN
2.0202,71100.0,NEAR OCEAN
0.957,60000.0,NEAR OCEAN
1.7308,80500.0,NEAR OCEAN
1.7778,76900.0,NEAR OCEAN
1.585,75500.0,NEAR OCEAN
1.8529,62500.0,NEAR OCEAN
2.2566,92700.0,NEAR OCEAN
2.5417,85400.0,NEAR OCEAN
1.6369,68300.0,NEAR OCEAN
1.8242,70000.0,NEAR OCEAN
1.745,70500.0,NEAR OCEAN
1.4668,64600.0,NEAR OCEAN
1.9688,70500.0,NEAR OCEAN
2.9038,82000.0,NEAR OCEAN
2.8529,85600.0,NEAR OCEAN
2.2227,81300.0,NEAR OCEAN
2.5536,70200.0,NEAR OCEAN
2.5096,72200.0,NEAR OCEAN
2.1607,67000.0,NEAR OCEAN
4.8516,116100.0,NEAR OCEAN
2.8056,82800.0,NEAR OCEAN
2.442,69000.0,NEAR OCEAN
1.75,67500.0,NEAR OCEAN
2.5,72600.0,NEAR OCEAN
1.755,74100.0,NEAR OCEAN
1.6111,74700.0,NEAR OCEAN
1.1386,74100.0,NEAR OCEAN
2.4896,81000.0,NEAR OCEAN
3.1711,104200.0,NEAR OCEAN
3.8,81800.0,NEAR OCEAN
2.1135,90600.0,NEAR OCEAN
3.0216,86400.0,NEAR OCEAN
3.4219,92800.0,NEAR OCEAN
2.9143,99600.0,NEAR OCEAN
3.375,100600.0,NEAR OCEAN
3.3984,90000.0,NEAR OCEAN
2.5536,96100.0,NEAR OCEAN
2.1101,86900.0,NEAR OCEAN
2.2478,81100.0,NEAR OCEAN
2.8833,83000.0,NEAR OCEAN
3.5833,92800.0,NEAR OCEAN
3.2216,98100.0,NEAR OCEAN
3.5156,143000.0,NEAR OCEAN
1.1157,150000.0,NEAR OCEAN
1.1742,75000.0,NEAR OCEAN
